Line Number,CML ID,CML Type,Diameter,Spec,Schedule,Diameter_Sch,Event.Comments,Last Date,12 O'Clock,3 O'Clock,6 O'Clock,9 O'Clock,Minimum,Scan Type
65-WF-71853-01F01,CML-4,CML: Equal Tee,80,01F01,80,8080,,16/02/2016,10.3,10.4,11.1,10.1,10.1,RADIAL
250-DC-57801-1CS,CML 2,CML: Equal Tee,150,1CS,XS,150XS,,24/05/2015,9.4,9.9,10.4,10.2,9.4,RADIAL
200-WF-71804-01F01,CML-5,CML: Reducer,200,01F01,80,20080,,21/02/2016,14.7,14.7,13.9,14,13.9,RADIAL
350-WF-71815-01F01,CML-4,CML: Elbow,40,1CG,80,4080,,3/09/2015,5.9,5.7,6.1,5.1,5.1,RADIAL
100-FG-45808-1CS,CML 10,CML: Pipe Length,250,1LC,XS,250XS,,17/05/2015,12.4,12.5,11.5,12.5,11.5,RADIAL
100-CW-33822-1LC,CML -1,CML: Elbow,100,1LC,XS,100XS,,18/06/2015,8.6,9.4,9.2,9.6,8.6,RADIAL
100-FG-45808-1CS,CML-3,CML: Elbow,150,1CG,80,15080,,23/05/2016,12.4,12.5,12.7,11.6,11.6,RADIAL
350-WF-71815-01F01,CML -1,CML: Elbow,50,1CS,XS,50XS,,15/06/2015,5.3,5.5,5.5,4.6,4.6,RADIAL
250-DC-57801-1CS,CML 9,CML: Pipe Length,150,1CS,XS,150XS,,24/05/2015,10.1,10.3,9.3,9.9,9.3,RADIAL
350-WF-71815-01F01,CML -1,CML: Elbow,50,1CS,XS,50XS,,15/06/2015,5.3,5.5,5.5,4.6,4.6,RADIAL
350-WF-71815-01F01,CML-1,CML: Elbow,65,1CG,XS,65XS,,27/08/2015,8.6,8.2,9.1,8.2,8.2,RADIAL
50-WF-71934-01F01,CML-5,CML: Elbow,40,1CG,160,40160,,16/01/2016,8.9,9.5,9.2,9.9,8.9,RADIAL
100-FG-45808-1CS,CML 46,CML: Pipe Length,250,1CS,20,25020,"Possible wrong schedule, pipe thicker than sch20 as states in drawing",24/05/2015,12.5,12.9,12.8,11.7,11.7,RADIAL
125-CW-33851-1LC,CML 3,CML: Elbow,125,1LC,XS,125XS,,24/06/2015,10.3,9.6,9.3,9.9,9.3,RADIAL
150-WF-71852-01F01,CML-9,CML: Elbow,150,01F01,80,15080,,21/02/2016,12.5,12.1,12.8,13.1,12.1,RADIAL
350-WF-71815-01F01,CML-11,CML: Equal Tee,50,1CS,80,5080,,28/09/2015,5.8,5.2,6.2,5.5,5.2,RADIAL
