LOOKUP_VALUE,LOOKUP_RESULT
200-PL-20018-01C02-P,FPSO-CL-TS-PL-01
200-PL-20019-01C02,FPSO-CL-TS-PL-01
200-PL-20020-01C02-P,FPSO-CL-TS-PL-01
200-PL-20034-03C02-P,FPSO-CL-TS-PL-01
200-PL-20035-03C02-P,FPSO-CL-TS-PL-01
200-PL-20052-01C02-P,FPSO-CL-TS-PL-01
200-PL-20059-01C02,FPSO-CL-TS-PL-01
200-PL-43031-01C02,RD-01
200-PL-43087-01C02,RD-01
200-PL-43300-01C02-E,FPSO-CL-TS-PL-02
200-PL-43301-01C02-E,FPSO-CL-TS-PL-02
200-PL-43302-01C02-E,FPSO-CL-TS-PL-02
200-PL-43306-01C02-E,FPSO-CL-TS-PL-02
200-PL-43307-01C02-E,FPSO-CL-TS-PL-02
200-PL-43308-01C02-E,FPSO-CL-TS-PL-02
200-PW-44018-01X01,FPSO-CL-TS-PW-03
200-PW-44019-01X01,FPSO-CL-TS-PW-03
200-PW-44020-01X01,FPSO-CL-TS-PW-03
200-PW-44021-01X01,FPSO-CL-TS-PW-03
200-VA-23055-01C02,FPSO-CL-TS-FL-01
200-VA-23057-01C02,FPSO-CL-TS-VA-01
200-VA-23058-01C02,FPSO-CL-TS-VA-01
200-WC-40007-01C02,FPSO-CL-TS-WC-01
200-WC-40008-01C02-P,FPSO-CL-TS-WC-01
200-WC-40009-01C02,FPSO-CL-TS-WC-01
200-WC-40010-01C02,FPSO-CL-TS-WC-01
200-WC-40036-01C02,FPSO-CL-TS-WC-01
200-WC-40038-01C02,FPSO-CL-TS-WC-01
200-WC-40401-01C02,FPSO-CL-TS-WC-01
200-WC-40507-1CG,FPSO-CL-TS-WC-02
200-WC-40508-1CG,FPSO-CL-TS-WC-02
200-WF-71034-01C02,RD-01
200-WF-71306-01K01,FPSO-CL-TS-WF-01
200-WF-71334-01K01,FPSO-CL-TS-WF-01
200-WF-71346-01K01,FPSO-CL-TS-WF-01
23-HA-102 (shell),23-HA-102 (shell)
23-HA-102 (tube + bonnet),23-HA-102 (tube + bonnet)
23-VG-102,23-VG-102
23-VG-103,23-VG-103
23-VG-104,23-VG-104
24-VB-001,24-VB-001
25-AI-63006-01E01,FPSO-CL-TS-AD-01
25-AI-63032-01E01,FPSO-CL-TS-AD-01
25-AI-63036-01E01,FPSO-CL-TS-AD-01
25-AI-63039-01E01,FPSO-CL-TS-AD-01
25-CG-38478-01C02,FPSO-CL-TS-CG-04
25-CG-38481-01C02,FPSO-CL-TS-CG-04
25-CG-38482-01C02,FPSO-CL-TS-CG-04
25-CG-38483-01C02,FPSO-CL-TS-CG-04
25-CG-38493-01C02,FPSO-CL-TS-CG-02
25-CG-38494-01C02,FPSO-CL-TS-CG-02
25-CG-38495-01C02,FPSO-CL-TS-CG-02
25-CI-42301-01S01,FPSO-CL-TS-CI-01
25-DC-57305-09C03,FPSO-CL-TS-DC-02
25-DC-57311-01C02-P,FPSO-CL-TS-DC-01
25-DC-57312-01C02-P,FPSO-CL-TS-DC-01
25-DC-57313-01C02-P,FPSO-CL-TS-DC-01
25-DC-57314-01C02-P,FPSO-CL-TS-DC-01
25-DC-57315-01C02-P,FPSO-CL-TS-DC-01
